sub_category,product_count,total_revenue,total_profit,avg_profit,avg_margin_pct
Sports & Outdoor Play,416,44084.65,13225.395000000002,31.79181490384616,42.85714285714286
Hobbies,849,37605.06,11281.518000000002,13.288007067137812,42.85714285714286
Furniture,188,37313.28,11193.984000000002,59.54246808510639,42.85714285714287
Unknown,829,27100.56,8130.168000000001,9.807199034981906,42.85714285714286
Outdoor Recreation,307,25610.66,7683.198000000001,25.02670358306189,42.85714285714286
Learning & Education,374,23305.52,6991.656000000001,18.694267379679147,42.85714285714286
Sports & Fitness,142,15080.29,4524.087,31.859767605633806,42.85714285714287
Costumes & Accessories,532,14266.35,4279.905000000001,8.044934210526318,42.85714285714286
Games & Accessories,642,13699.25,4109.775000000001,6.401518691588786,42.85714285714286
Home Décor,195,12311.99,3693.5970000000007,18.94152307692308,42.85714285714287
Dress Up & Pretend Play,450,11072.32,3321.6960000000004,7.381546666666668,42.85714285714287
Stuffed Animals & Plush Toys,494,10805.32,3241.5960000000005,6.561935222672066,42.85714285714287
Building Toys,205,9341.8,2802.5400000000004,13.670926829268295,42.85714285714287
Toy Figures & Playsets,357,8969.96,2690.9880000000003,7.537781512605043,42.85714285714287
Dolls & Accessories,312,8451.26,2535.378,8.126211538461538,42.85714285714287
Bedding,176,8414.74,2524.4220000000005,14.343306818181821,42.85714285714286
Baby & Toddler Toys,257,7985.21,2395.563,9.321256809338522,42.85714285714286
Arts & Crafts,536,7808.76,2342.628,4.370574626865672,42.85714285714287
Collectible Toys,151,7518.89,2255.6670000000004,14.938192052980135,42.85714285714286
"Tricycles, Scooters & Wagons",59,6733.96,2020.1880000000003,34.24047457627119,42.85714285714286
Play Vehicles,210,6529.91,1958.9730000000002,9.328442857142859,42.85714285714287
Puzzles,362,5914.86,1774.4580000000003,4.901817679558012,42.85714285714287
Party Supplies,487,5183.23,1554.9690000000003,3.192954825462013,42.85714285714287
Nursery,152,4741.64,1422.4920000000002,9.358500000000001,42.85714285714287
Kids' Electronics,103,3607.2,1082.16,10.506407766990293,42.85714285714286
Novelty & Gag Toys,226,3167.26,950.1780000000001,4.204327433628319,42.85714285714287
Office & School Supplies,74,2781.88,834.5640000000002,11.277891891891894,42.85714285714287
"Kids' Furniture, Décor & Storage",29,1931.61,579.4830000000001,19.982172413793105,42.85714285714287
Puppets & Puppet Theaters,62,1871.35,561.4050000000001,9.054919354838711,42.85714285714287
Power Plant & Driveline Systems,22,1556.46,466.9380000000001,21.22445454545455,42.85714285714286
Remote & App Controlled Vehicles & Parts,34,1387.74,416.32200000000006,12.244764705882355,42.85714285714286
Event & Party Supplies,72,1320.76,396.22800000000007,5.503166666666668,42.85714285714286
Luggage & Travel Gear,49,1212.9,363.87000000000006,7.42591836734694,42.85714285714287
Science Education,18,1013.68,304.10400000000004,16.89466666666667,42.85714285714286
Fan Shop,39,833.93,250.17900000000003,6.414846153846154,42.85714285714287
Professional Medical Supplies,3,784.4300000000001,235.32900000000006,78.44300000000003,42.85714285714286
Kitchen & Dining,53,777.47,233.24100000000004,4.400773584905661,42.85714285714287
Crafting,53,698.09,209.42700000000002,3.9514528301886798,42.85714285714286
Activity & Entertainment,10,649.33,194.79900000000004,19.479900000000004,42.85714285714287
Men,13,603.53,181.05900000000003,13.927615384615386,42.85714285714286
Baby Care,45,510.61,153.18300000000002,3.404066666666667,42.85714285714286
"Painting, Drawing & Art Supplies",23,491.07,147.32100000000003,6.405260869565218,42.85714285714287
Patio Furniture & Accessories,3,415.55999999999995,124.668,41.556000000000004,42.85714285714287
Household Supplies,17,379.92,113.97600000000003,6.704470588235296,42.85714285714286
Power & Hand Tools,4,370.94,111.28200000000001,27.820500000000003,42.85714285714286
Remote & App Controlled Vehicle Parts,17,326.82,98.046,5.767411764705883,42.85714285714286
Novelty & More,22,267.65999999999997,80.29800000000002,3.6499090909090914,42.85714285714287
Sewing,19,243.04000000000002,72.912,3.8374736842105266,42.85714285714287
Dogs,11,224.75,67.42500000000001,6.129545454545456,42.85714285714286
Microphones & Accessories,1,195.2,58.56,58.56,42.85714285714286
Beading & Jewelry Making,15,174.26,52.278000000000006,3.4852000000000003,42.85714285714287
Women,3,135.02,40.506,13.502,42.85714285714286
Pantry Staples,11,134.13,40.239000000000004,3.6580909090909093,42.85714285714287
Wall Art,7,127.76,38.32800000000001,5.475428571428573,42.85714285714287
Camera & Photo,4,121.77000000000001,36.531000000000006,9.132750000000001,42.85714285714286
Gardening & Lawn Care,2,121.28999999999999,36.387,18.1935,42.85714285714286
Lighting & Ceiling Fans,5,120.50999999999999,36.153000000000006,7.230600000000001,42.85714285714287
Medical Supplies & Equipment,5,116.44,34.932,6.986400000000001,42.85714285714287
Girls,5,104.76,31.428000000000004,6.2856000000000005,42.85714285714287
Printmaking,5,89.05,26.715000000000003,5.343000000000001,42.85714285714287
"Foot, Hand & Nail Care",4,76.23,22.869000000000007,5.717250000000002,42.85714285714287
Hardware,2,69.86,20.958000000000002,10.479000000000001,42.85714285714286
Needlework,2,60.17,18.051000000000002,9.025500000000001,42.85714285714286
Boys,4,54.93,16.479000000000003,4.119750000000001,42.85714285714286
"Pools, Hot Tubs & Supplies",4,51.620000000000005,15.486,3.8715,42.85714285714286
Industrial Electrical,2,50.81,15.243000000000002,7.621500000000001,42.85714285714287
Electrical,2,50.45,15.135000000000002,7.567500000000001,42.857142857142875
Scrapbooking & Stamping,4,49.28,14.784000000000002,3.6960000000000006,42.85714285714287
Seasonal Décor,2,48.97,14.691000000000003,7.345500000000001,42.85714285714287
Exterior Accessories,3,46.599999999999994,13.98,4.66,42.85714285714286
Portable Audio & Video,1,45.99,13.797000000000004,13.797000000000004,42.85714285714287
Replacement Parts,3,43.18,12.954000000000004,4.318000000000001,42.85714285714287
Top Selection from AmazonPets,2,40.980000000000004,12.294000000000004,6.147000000000002,42.857142857142875
Interior Accessories,3,40.290000000000006,12.087000000000003,4.029000000000001,42.85714285714287
PlayStation 4,1,39.95,11.985000000000003,11.985000000000003,42.85714285714287
"Paint, Wall Treatments & Supplies",4,38.76,11.628000000000002,2.9070000000000005,42.85714285714287
Outdoor Décor,3,37.52,11.256,3.7520000000000002,42.85714285714287
Nintendo Switch,1,32.84,9.852000000000004,9.852000000000004,42.857142857142875
PC,1,31.62,9.486,9.486,42.85714285714286
Lab & Scientific Products,2,30.89,9.267000000000001,4.633500000000001,42.85714285714287
Strollers & Accessories,1,30.0,9.0,9.0,42.857142857142854
Hair Care,2,28.14,8.442,4.221,42.85714285714286
Fasteners,2,26.93,8.079000000000002,4.039500000000001,42.857142857142875
Computers & Accessories,1,26.19,7.857000000000003,7.857000000000003,42.857142857142875
Feeding,3,25.689999999999998,7.707000000000001,2.5690000000000004,42.85714285714286
Makeup,2,20.509999999999998,6.153000000000001,3.0765000000000007,42.857142857142875
Office Electronics,1,20.22,6.066000000000001,6.066000000000001,42.85714285714287
Skin Care,1,18.72,5.616,5.616,42.857142857142854
Headphones,1,17.99,5.397,5.397,42.85714285714287
Fabric,1,16.92,5.0760000000000005,5.0760000000000005,42.857142857142854
Blu-ray,1,14.99,4.497,4.497,42.857142857142854
Potty Training,1,14.99,4.497,4.497,42.857142857142854
Legacy Systems,1,11.99,3.5970000000000013,3.5970000000000013,42.857142857142875
Gifts,2,11.96,3.5880000000000005,1.7940000000000003,42.85714285714287
Power Transmission Products,1,11.49,3.447000000000001,3.447000000000001,42.85714285714287
Birds,1,10.88,3.264000000000001,3.264000000000001,42.85714285714287
Xbox One,1,10.0,3.0,3.0,42.857142857142854
"Shoe, Jewelry & Watch Accessories",1,9.26,2.7780000000000005,2.7780000000000005,42.85714285714287
Drums & Percussion,1,8.99,2.697,2.697,42.857142857142854
Accessories,1,8.25,2.4750000000000005,2.4750000000000005,42.85714285714287
Storage & Organization,1,7.89,2.367,2.367,42.85714285714286
Tools & Accessories,1,7.15,2.1450000000000005,2.1450000000000005,42.85714285714287
"Adhesives, Sealants & Lubricants",1,7.0,2.1000000000000005,2.1000000000000005,42.85714285714287
Pet Supplies Markdowns,1,6.62,1.9860000000000007,1.9860000000000007,42.857142857142875
Stationery & Gift Wrapping Supplies,1,6.33,1.899,1.899,42.857142857142854
Kids' Home Store,1,5.9,1.7700000000000005,1.7700000000000005,42.85714285714287
Personal Care,1,3.5,1.0500000000000003,1.0500000000000003,42.85714285714287
